Close,High,Low,Open,Volume,Daily Return,Daily log return
2018-04-17,9803.900390625,9824.400390625,9762.2998046875,9785.400390625,112396600,0.003870611888262321,0.003863140343495016
2018-04-18,9857.2998046875,9871.2998046875,9800.2998046875,9814.5,146904000,0.005446752000210386,0.005431972090580057
2018-04-19,9868.0,9902.7001953125,9838.7998046875,9861.7998046875,120796500,0.0010855097769686406,0.0010849210372473241
2018-04-20,9884.2001953125,9908.0,9847.099609375,9864.400390625,139382700,0.001641689837099669,0.0016403437373898174
2018-04-23,9922.0,9922.0,9862.599609375,9898.599609375,118071400,0.0038242653872415655,0.003816971474357011
2018-04-24,9883.400390625,9939.400390625,9848.400390625,9922.7001953125,188820600,-0.003890305318988152,-0.003897892240077656
2018-04-25,9858.0,9858.400390625,9793.0,9829.2001953125,161124600,-0.0025700052230094306,-0.002573313355593479
2018-04-26,9902.2998046875,9914.7001953125,9856.7001953125,9871.5,131267400,0.0044937923196894936,0.004483725382865077
2018-04-27,9925.400390625,9947.2998046875,9883.7998046875,9894.2001953125,139092700,0.002332850589573665,0.0023301337181866302
2018-04-30,9980.599609375,9995.400390625,9916.099609375,9924.0,142924100,0.005561409774676562,0.005546002234037277
2018-05-02,10088.900390625,10098.900390625,9981.400390625,9982.599609375,157392800,0.010851129740568899,0.010792678692026205
2018-05-03,10038.7998046875,10095.2001953125,10017.599609375,10080.7001953125,140956500,-0.0049659114470052,-0.004978282558143536
2018-05-04,10104.099609375,10104.099609375,10029.400390625,10047.099609375,162050000,0.006504742196074886,0.0064836776574739765
2018-05-07,10140.900390625,10148.599609375,10106.2998046875,10114.2001953125,89759400,0.0036421633468315395,0.003635546730906281
2018-05-08,10168.099609375,10180.5,10091.900390625,10135.099609375,177955800,0.0026821305507689353,0.0026785400573051425
2018-05-09,10221.2001953125,10222.7001953125,10138.900390625,10163.7001953125,133256100,0.005222272398722527,0.005208683623212698
2018-05-10,10246.599609375,10257.099609375,10191.099609375,10243.2998046875,116750700,0.0024849737386172244,0.00248189129684492
2018-05-11,10271.400390625,10284.5,10242.099609375,10245.2001953125,120333700,0.0024203913684017753,0.0024174669391053825
2018-05-14,10257.7998046875,10291.400390625,10215.2998046875,10277.2001953125,108963000,-0.0013241218743564875,-0.0013249992983552952
2018-05-15,10207.599609375,10265.0,10159.099609375,10237.900390625,152740700,-0.0048938560186717606,-0.004905870145001004
2018-05-16,10111.0,10194.2001953125,10089.7998046875,10189.7998046875,212003400,-0.009463499066546421,-0.009508562504387747
2018-05-17,10216.400390625,10216.400390625,10108.5,10120.7998046875,153622900,0.010424329010483735,0.010370370357374967
2018-05-18,10112.400390625,10221.0,10088.400390625,10209.2998046875,249545800,-0.01017971066359491,-0.010231878254149042
2018-05-21,10066.5,10155.900390625,10055.7998046875,10155.2001953125,110379200,-0.004539020297055663,-0.004549352928221315
2018-05-22,10138.7998046875,10156.400390625,10060.7998046875,10081.5,145394700,0.007182218714299804,0.007156549416527947
2018-05-23,10025.0,10101.7998046875,9957.7998046875,10101.7998046875,157919000,-0.011224188945410107,-0.011287655508161753
2018-05-24,9996.0,10092.5,9964.0,10045.5,155881200,-0.002892768079800545,-0.0028969602199269808
2018-05-25,9826.5,10053.099609375,9722.7998046875,10031.0,298273900,-0.016956782713085206,-0.017102195114802238
2018-05-28,9764.400390625,9921.400390625,9732.599609375,9891.400390625,155744000,-0.006319606103393882,-0.006339659344411411
2018-05-29,9521.2998046875,9668.400390625,9447.599609375,9668.400390625,364026100,-0.024896622036403415,-0.025211784924321252
2018-05-30,9566.2001953125,9618.2998046875,9477.2001953125,9553.0,283877200,0.004715783721346067,0.004704699247619691
2018-05-31,9465.5,9649.0,9400.2998046875,9625.099609375,355887300,-0.010526666101117521,-0.010582463368963062
2018-06-01,9632.400390625,9677.5,9529.0,9544.7001953125,238950800,0.017632495972214945,0.017478847028803056
2018-06-04,9750.2998046875,9830.7001953125,9686.7998046875,9716.2998046875,193668500,0.012239878875596633,0.012165577239096208
2018-06-05,9686.400390625,9812.900390625,9686.400390625,9730.599609375,183418200,-0.006553584540218926,-0.006575153563305423
2018-06-06,9791.599609375,9793.7998046875,9654.400390625,9702.7001953125,202426600,0.0108605069486718,0.010801955196086226
2018-06-07,9829.0,9940.599609375,9814.7998046875,9844.2001953125,190777600,0.003819640520144496,0.003812364215984678
2018-06-08,9746.2998046875,9772.2001953125,9713.2001953125,9762.7001953125,176047100,-0.008413897172906748,-0.008449493817361585
2018-06-11,9898.2998046875,9915.2001953125,9799.099609375,9835.0,199952400,0.015595662256038478,0.015475299724690918
2018-06-12,9914.400390625,9961.599609375,9901.599609375,9940.599609375,158176100,0.0016266011593097929,0.0016252796764669977
2018-06-13,9899.099609375,9923.900390625,9838.2998046875,9900.2001953125,172849800,-0.001543288615261984,-0.0015444807117941872
2018-06-14,9957.7001953125,9973.900390625,9836.5,9862.400390625,180248400,0.005919789501057426,0.005902336392469363
2018-06-15,9851.0,9985.900390625,9798.900390625,9980.099609375,377069300,-0.010715345232298557,-0.01077316797542179
